No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
418,482,Linum perenne,sp1,five,I02,Grass_comp,8/11/2016,1,0.019,0.0756,0.0946,0.799154334,2,Inter,Pascopyrum smithii,0.0671,0.1427
453,320,Helianthus annuus,none,four,A20,Monoculture,8/25/2016,1,0.0278,0.0692,0.097,0.713402062,1,Con,None,,
51,138,Linum perenne,sp1,two,C18,Monoculture,7/27/2016,1,0.0168,0.0837,0.1005,0.832835821,2,Intra,Linum perenne,0.026,0.1097
282,239,Pascopyrum smithii,sp1,three,C19,Monoculture,8/10/2016,1,0.0333,0.069,0.1023,0.674486804,2,Intra,Pascopyrum smithii,0.066,0.135
7,11,Linum perenne,sp1,one,A11,Monoculture,7/27/2016,1,0.0184,0.0866,0.105,0.824761905,2,Intra,Linum perenne,0.0247,0.1113
159,576,Sporobolus airoides,none,six,G16,Control,7/27/2016,1,0.0577,0.0481,0.1058,0.45463138,1,Con,None,,
336,557,Pascopyrum smithii,sp1,six,E17,Monoculture,8/10/2016,1,0.0497,0.0583,0.108,0.539814815,2,Intra,Pascopyrum smithii,0.0662,0.1245
437,73,Helianthus annuus,sp1,one,G13,Monoculture,8/25/2016,1,0.052,0.057,0.109,0.52293578,2,Intra,Helianthus annuus,0.0633,0.1203
389,252,Pascopyrum smithii,sp1,three,E12,Grass_comp,8/11/2016,1,0.0347,0.0801,0.1148,0.697735192,2,Inter,Elymus trachycaulus,0.0417,0.1218
53,140,Sporobolus airoides,sp1,two,C20,Monoculture,7/27/2016,1,0.0234,0.0952,0.1186,0.802698145,2,Intra,Sporobolus airoides,0.0845,0.1797
453,320,Helianthus annuus,none,four,A20,Monoculture,8/25/2016,1,0.0495,0.0692,0.1187,0.582982308,1,Intra,Helianthus annuus,0.0495,0.1187
117,368,Sporobolus airoides,none,four,G08,Control,7/27/2016,1,0.059,0.0645,0.1235,0.522267206,1,Con,None,,
280,218,Pascopyrum smithii,none,three,A18,Control,8/10/2016,1,0.0624,0.0615,0.1239,0.496368039,1,Con,None,,
338,570,Pascopyrum smithii,sp1,six,G10,Monoculture,8/10/2016,1,0.045,0.0796,0.1246,0.638844302,2,Intra,Pascopyrum smithii,0.0668,0.1464
79,227,Sporobolus airoides,none,three,C07,Control,7/27/2016,1,0.0118,0.1134,0.1252,0.905750799,1,Con,None,,
341,575,Elymus trachycaulus,sp1,six,G15,Monoculture,8/10/2016,1,0.021,0.1043,0.1253,0.832402235,2,Intra,Elymus trachycaulus,0.0212,0.1255
116,364,Sporobolus airoides,sp1,four,G04,Monoculture,7/27/2016,1,0.0288,0.0994,0.1282,0.775351014,2,Intra,Sporobolus airoides,0.0473,0.1467
54,144,Sporobolus airoides,none,two,E04,Control,7/27/2016,1,0.0743,0.0541,0.1284,0.421339564,1,Con,None,,
140,452,Achillea millefolium,none,five,E12,Control,7/27/2016,1,0.0626,0.08,0.1426,0.561009818,1,Con,None,,
32,77,Sporobolus airoides,none,one,G17,Control,7/27/2016,1,0.0746,0.07,0.1446,0.484094053,1,Con,None,,
73,201,Sporobolus airoides,none,three,A01,Control,7/27/2016,1,0.065,0.0837,0.1487,0.562878278,1,Con,None,,
269,121,Pascopyrum smithii,sp1,two,C01,Monoculture,8/10/2016,1,0.0499,0.101,0.1509,0.669317429,2,Intra,Pascopyrum smithii,0.0633,0.1643
