,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
553,399,13,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,43,4,5,4.69041576,1.916922612,2.766319109,6.172519745,7,2.197224577,5.924525297,8.148619515,MACA-B Intraspecific_competition MACA-C,NA,Intraspecific mixture,12,11,Dieteria canescens,3.75141904,2.989789099,0.345812808,0.294444444,0.051368363,2.2,27,-1,155.5,0.051368363,27,2.2,-1,1,1,1
554,401,13,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,5,6,4,1.609437912,2.939161922,6.848357467,4.472135955,2.525728644,8,10.88117641,DICA-C Interspecific_competition HEVI-A,NA,Interspecific mixture,13,16,Heterotheca villosa,4.345247566,3.128501141,0.350877193,0.287234043,0.06364315,7.5,4,3,248.2,0.06364315,4,7.5,3,3,1,1
555,403,13,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,44,5,4,4.404543109,1.252762968,4.08933202,8.949860334,4,1.386294361,6.964194139,8.252272414,DICA-C Interspecific_competition HEVI-C,NA,Interspecific mixture,13,9,Heterotheca villosa,3.900828957,3.610982187,0.415951973,0.427038627,-0.011086654,0.5,-3.4,-4,256.4,0.011086654,3.4,0.5,-4,4,-1,1
556,404,13,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,43,4,6,3.535533906,1.335001067,4.028916757,8.167006796,5.118593557,2.197224577,8.117881497,9.81325634,DICA-C Interspecific_competition HEVI-B,NA,Interspecific mixture,NA,NA,Heterotheca villosa,4.234517427,3.492266249,0.406288533,0.457282343,-0.050993811,5.2,13.7,NA,285.1,0.050993811,13.7,5.2,NA,NA,2,2
557,405,13,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,44,6,3,4.898979486,1.791759469,4.494238625,10.25670512,4.604345773,1.609437912,7.543208866,9.132360045,DICA-C Intraspecific_competition MACA-A,NA,Intraspecific mixture,10,11,Dieteria canescens,4.083573057,3.840695738,0.405559515,0.459681561,-0.054122046,-1,-2.8,1,335,0.054122046,2.8,1,1,1,-3,3
558,415,13,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,4,4,3.807886553,1.098612289,3.881563798,7.402702209,6.737952211,2.302585093,9.279008568,12.20655562,MACA-A Interspecific_competition HEVI-B,NA,Interspecific mixture,NA,NA,Heterotheca villosa,4.635252332,3.359206157,0.366227137,0.469506292,-0.103279155,7,30.9,NA,338.4,0.103279155,30.9,7,NA,NA,0,0
559,417,14,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,44,5,8,4.358898944,1.945910149,1.916922612,5.700877125,4.795831523,2.944438979,9.523654761,18.69759343,MACA-A Intraspecific_competition MACA-B,NA,Intraspecific mixture,13,17,Dieteria canescens,5.312367475,2.760036184,0.205995912,0.17302799,0.032967922,12,4,4,479.6,0.032967922,4,12,4,4,3,3
560,418,14,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - DICA-C,DICA-C,44,4,7,3.464101615,2.197224577,2.104134154,6.587867637,4.123105626,2.079441542,4.57165178,10.63014581,MACA-A Intraspecific_competition MACA-C,NA,Intraspecific mixture,13,15,Dieteria canescens,3.898948268,2.948220106,0.156086632,0.158914729,-0.002828097,-1,5,2,185.5,0.002828097,5,1,2,2,3,3
561,420,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,5,6,4.847679857,1.945910149,2.163323026,6.737952211,4.38178046,2.48490665,3.098386677,10.21273715,MACA-B Interspecific_competition HEVI-A,NA,Interspecific mixture,10,15,Heterotheca villosa,3.648441287,2.983500501,0.08428446,0.160813309,-0.076528849,5,-4.3,5,168,0.076528849,4.3,5,5,5,1,1
562,421,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,5,5,2.828427125,1.871802177,3.005682604,7.259476565,4.123105626,2.63905733,4.615192304,11.16691542,MACA-B Interspecific_competition HEVI-C,NA,Interspecific mixture,10,27,Heterotheca villosa,3.9726701,3.203928709,0.145890411,0.277091907,-0.131201496,7.5,9,17,218.9,0.131201496,9,7.5,17,17,0,0
